hearing_id,statement_index,dom_id,speaker,speaker_type,statement,matched_groups,matched_terms,n_keyword_groups,matching_sentence_indices,n_matching_sentences,matching_sentences
279661,295,10331734,Chris Ward,Legislator,"The latest amendments further strengthen the measure by expanding support to part time journalists, recognizing sole proprietors who operate local news outlets, and ensure that the credit reaches a broad range of local print, digital broadcast, and non profit news organizations that serve California communities.",local_news; journalists_reporters; news_organizations; employment_workforce,local news; journalists; news organizations; news outlets; part time,4,1,1,"The latest amendments further strengthen the measure by expanding support to part time journalists, recognizing sole proprietors who operate local news outlets, and ensure that the credit reaches a broad range of local print, digital broadcast, and non profit news organizations that serve California communities."
279661,296,10331735,Chris Ward,Legislator,"The bill also includes a strong accountability measure. Eligible organizations must publicly disclose ownership of governance, maintain correct... maintain corrections policies, carry media liability insurance, and cannot be controlled by political organizations or 501 c4 advocacy groups. These safeguards ensure that taxpayer dollars support independent community focused journalism, not political propaganda. At a time when misinformation is spreading and trusted local news is disappearing, California has an opportunity to invest in one of the cornerstones of our democracy.",journalists_reporters; local_news; civic_effects; information_effects,journalism; local news; democracy; misinformation,4,4; 5,2,"These safeguards ensure that taxpayer dollars support independent community focused journalism, not political propaganda. At a time when misinformation is spreading and trusted local news is disappearing, California has an opportunity to invest in one of the cornerstones of our democracy."
279661,297,10331736,Chris Ward,Legislator,"With me to speak in support of the Community News Act, we have Jeff Knox, from, TTWN in San Francisco representing SAG-AFTRA and former Senator Steve Glazer.",bill_reference; local_news,Community News Act; Community News,2,1,1,"With me to speak in support of the Community News Act, we have Jeff Knox, from, TTWN in San Francisco representing SAG-AFTRA and former Senator Steve Glazer."
279661,313,10331754,Timothy Grayson,Legislator,"Mister Chair, thank you very much. And to Assemblymember Ward, one of the greatest compliments I ever had in this building was when I was called Assemblymember Ward. Yes. So, having said that, just a clarification on a qualified journalist.",journalists_reporters,journalist,1,4,1,"So, having said that, just a clarification on a qualified journalist."
279661,314,10331755,Timothy Grayson,Legislator,"If I understand it correctly, according to the bill analysis, the qualified journalist would be one that is working for a - that is a network or a news agency?",journalists_reporters,journalist,1,1,1,"If I understand it correctly, according to the bill analysis, the qualified journalist would be one that is working for a - that is a network or a news agency?"
279661,315,10331756,Chris Ward,Legislator,"I believe so too. I know that we're taking a clarifying amendment, of course, to point out that a qualified journalist would reside in the state, would be a resident of the state.",journalists_reporters,journalist,1,2,1,"I know that we're taking a clarifying amendment, of course, to point out that a qualified journalist would reside in the state, would be a resident of the state."
279661,319,10331760,Chris Ward,Legislator,We'll double check on that and if that that is confusing. That's a part-time journalist for qualifying part time. Does it have a minimum number of hours?,journalists_reporters; employment_workforce,journalist; part-time; part time,2,2,1,That's a part-time journalist for qualifying part time.
279661,322,10331763,Timothy Grayson,Legislator,"It's important for me because you just I think you used the, one of the witnesses here, used the word multiple times: quality. And that's what I know you aspire for, and that's quality journalism. And so that's important to me to make sure that we're getting the right information, and exactly what you're trying to accomplish, and making sure that the biases are not in there. They're literally laying out the truth, and accurate information. I also wanna just thank my predecessor, for his great work on this.",journalists_reporters,journalism,1,2,1,"And that's what I know you aspire for, and that's quality journalism."
279661,328,10331769,Jerry McNerney,Legislator,"And it's clear that, journalism isn't in decline. A lot of reasons beside behind this, I think, automation and, artificial intelligence are are gonna be making it even more difficult. So, we need to take whatever steps we can. And I wanna just put for the record, Assemblymember, are you accepting the committee amendments? Yes.",journalists_reporters,journalism,1,1,1,"And it's clear that, journalism isn't in decline."
279661,330,10331771,Chris Ward,Legislator,"I would just say, again, thank you for your time and consideration and all the hard work on this bill. Ultimately, this is both a jobs bill and a democracy bill. We are witnessing in real time the closure of stations that serve broad regions of our state with that trusted local news.",local_news,local news,1,3,1,We are witnessing in real time the closure of stations that serve broad regions of our state with that trusted local news.
279661,682,10332181,Jerry McNerney,Legislator,"The vote is 4-0. The bill is out. Next, we have file item number 11, AB 2222 by Assembly Member Ward.",bill_reference,AB 2222,1,3,1,"Next, we have file item number 11, AB 2222 by Assembly Member Ward."
280019,1055,16793281,Akilah Weber Pierson,Legislator,"Ayes, 32. No, zero. The measure passes. We'll move now to file item 139, AB 2222. Secretary, please read.",bill_reference,AB 2222,1,4,1,"We'll move now to file item 139, AB 2222."
280019,1057,16793284,Jerry McNerney,Legislator,"Thank you, Madam president, distinguished colleagues. AB 2222 from Assemblymember Ward provides a lifeline to California's struggling local news outlets by creating a refundable tax credit to help them retain existing journalists and to hire new reporters.",bill_reference; local_news; journalists_reporters; news_organizations; employment_workforce; tax_credit,AB 2222; local news; journalists; reporters; news outlets; hire; retain; tax credit; refundable tax credit,6,2,1,AB 2222 from Assemblymember Ward provides a lifeline to California's struggling local news outlets by creating a refundable tax credit to help them retain existing journalists and to hire new reporters.
280019,1058,17069052,Jerry McNerney,Legislator,"Importantly, this program is available to qualifying local news outlets regardless of their political perspectives. This bill does not tell journalists what to cover or allow the state to pick winners or losers. Period.",local_news; news_organizations; journalists_reporters,local news; news outlets; journalists,3,1; 2,2,"Importantly, this program is available to qualifying local news outlets regardless of their political perspectives. This bill does not tell journalists what to cover or allow the state to pick winners or losers."
280019,1059,16793285,Jerry McNerney,Legislator,"Outlets qualify by meeting objective standards focused on legitimate local journalism. Recent amendments strengthen the bill by extending, by ensuring nonprofit newsrooms can fully benefit from the refundable credit at a time when local newspapers are closing.",local_news; journalists_reporters; news_organizations; tax_credit; nonprofit_small_outlets,local journalism; journalism; local newspapers; newsrooms; newspapers; refundable credit; nonprofit,5,1; 2,2,"Outlets qualify by meeting objective standards focused on legitimate local journalism. Recent amendments strengthen the bill by extending, by ensuring nonprofit newsrooms can fully benefit from the refundable credit at a time when local newspapers are closing."
280019,1060,17070279,Jerry McNerney,Legislator,"And we've all seen these local newspapers closing in our districts. They're being forced to do so with few reporters. AB 2222 markets a targeted investment in the people who will cover our cities, schools, neighborhoods, and communities.",local_news; news_organizations; journalists_reporters; bill_reference,local newspapers; newspapers; reporters; AB 2222,4,1; 2; 3,3,"And we've all seen these local newspapers closing in our districts. They're being forced to do so with few reporters. AB 2222 markets a targeted investment in the people who will cover our cities, schools, neighborhoods, and communities."
280019,1061,16793286,Jerry McNerney,Legislator,"The bill will keep a local journalist on the job and ensure Californians continue to have access to reliable information about their communities. If you rely on your local journalists, you'll wanna support this one. On behalf of Assemblymember Ward, I respectfully ask for an aye vote.",local_news; journalists_reporters; information_effects; employment_workforce,local journalist; journalist; reliable information; job; local journalists; journalists,4,1; 2,2,"The bill will keep a local journalist on the job and ensure Californians continue to have access to reliable information about their communities. If you rely on your local journalists, you'll wanna support this one."
280028,89,17161050,Josh Lowenthal,Legislator,"Thank you, Assembly Member Irwin. All debate having ceased. Clerk will open the roll. All Members vote who desire to vote. All Members vote who desire to vote. All Members vote who desire to vote. Clerk will close the roll, tally the votes. Ayes 66, noes zero. Senate amendments are concurred in. File item 44 is AB 2222 by Assembly Member Ward. This is a 54 vote bill. The clerk will read.",bill_reference,AB 2222,1,10,1,File item 44 is AB 2222 by Assembly Member Ward.
280028,91,17161054,Chris Ward,Legislator,"Thank you, Mister speaker. Pleased that AB 2222, a community news act is back for concurrence and Senate amendments. These amendments strengthen and refine the bill while preserving its core purpose to support local journalism and the reporters who keep our communities informed. Most importantly, the amendments ensure that nonprofit news organizations, including qualified public broadcasters, can benefit from the refundable credit.",bill_reference; local_news; journalists_reporters; news_organizations; tax_credit; nonprofit_small_outlets,AB 2222; community news act; community news; local journalism; reporters; journalism; news organizations; refundable credit; nonprofit,6,2; 3; 4,3,"Pleased that AB 2222, a community news act is back for concurrence and Senate amendments. These amendments strengthen and refine the bill while preserving its core purpose to support local journalism and the reporters who keep our communities informed. Most importantly, the amendments ensure that nonprofit news organizations, including qualified public broadcasters, can benefit from the refundable credit."
